Grapheme	IPA	Examples
4⁴$	⁴	ɕi4⁴
Grapheme	IPA	Examples
^a	a	a³³tɯ⁴⁴, a⁴⁴, a⁵⁵na⁴⁴
^f	f	fʋ³⁵, fʋ⁴⁴
^k	k	ka³⁵, ko³³, ko⁴⁴
^kh	kʰ	khi⁵⁵, khua⁴⁴, khʋ⁴⁴
^l	l	la⁴⁴tha⁴⁴, liou⁴⁴, lua⁴²
^m	m	ma²¹, ma³³, ma³⁵
^n	n	na³³, na⁵⁵, ne⁴⁴
^p	p	pa⁴², pa⁵⁵, pe²¹
^ph	pʰ	phe⁵⁵, phɛ³⁵, phɛ⁵⁵
^s	s	sa⁵⁵, se³³, se⁴⁴
^t	t	ta⁴⁴, te⁴⁴, ti³³
^th	tʰ	thu⁴⁴
^ts	ts	tsa⁵⁵tiɛ⁴⁴, tse²¹, tse⁴²
^tsh	tsʰ	tsha⁵⁵, tshi⁵⁵, tsho⁵⁵
^tɕ	tɕ	tɕa³³, tɕi³³, tɕi³⁵
^tɕh	tɕʰ	tɕho³³, tɕhui³³tɕhi⁴⁴, tɕhu⁵⁵
^u	u	u³³ɕi⁴⁴, u⁵⁵lu⁵⁵
^ua	w a	ua⁴²
^ui	w i	ui²¹, ui³³, ui³⁵
^v	v	vʋ²¹, vʋ³³, vʋ³⁵
^x	x	xa³⁵, xe⁵⁵ȵi⁴⁴, xi⁴⁴
^z	z	zu⁴²kuo³³, zɯ³³ki⁴⁴
^ŋ	ŋ	ŋa⁴⁴, ŋa⁵⁵, ŋɔ³³
^ȵ	ȵ	ȵa⁵⁵, ȵi²¹kɛ³⁵, ȵi⁴⁴
^ɔ	ɔ	ɔ⁴⁴liɔ⁴⁴ui²¹kɛ³³
^ɕ	ɕ	ɕa⁴⁴, ɕi4⁴, ɕi³³
^ɣ	ɣ	ɣɯ⁴⁴
^ɯ	ɯ	ɯ³³
^ʑ	ʑ	ʑa²¹phɯ⁵⁵, ʑa⁴⁴, ʑi³⁵
a	a	a⁵⁵na⁴⁴, a⁵⁵ta⁴⁴, a⁵⁵ʑa³³
e	e	ne⁴⁴, pe²¹, pe³³kɛ⁴⁴
f	f	pi³³fʋ⁴⁴tɯ²¹
i	i	a⁵⁵ȵi²¹, khi⁵⁵, mi³³
iou	j ou	liou⁴⁴, miou⁴⁴
iɔ	j ɔ	ɔ⁴⁴liɔ⁴⁴ui²¹kɛ³³
iɛ	j ɛ	miɛ³⁵, tsa⁵⁵tiɛ⁴⁴
iɯ	j ɯ	piɯ⁴⁴
k	k	pe³³kɛ⁴⁴, pɔ³⁵tsi⁴⁴ku⁴⁴, tse⁵⁵kɔ³³ne²
kh	kʰ	tso⁴²khui⁵⁵, ʑi³⁵la⁴⁴khʋ⁵⁵
l	l	u⁵⁵lu⁵⁵, xua⁴²lɔ⁴²ɕu⁵⁵, ɔ⁴⁴liɔ⁴⁴ui²¹kɛ³³
m	m	tɯ²¹ma³⁵
n	n	a⁵⁵na⁴⁴, sʋ⁵⁵tsʋ³³nʋ³³, tse⁵⁵kɔ³³ne²
o	o	ko³³, ko⁴⁴, so⁴⁴
p	p	tsi⁴⁴pa⁴⁴, tsɯ³¹pe²¹, tɯ²¹pɔ³³
ph	pʰ	mi⁴⁴phi³³phi³³, ʑa²¹phɯ⁵⁵
s	s	pi³⁵si³⁵, tɕi⁴²sv⁴⁴
t	t	a³³tɯ⁴⁴, a⁵⁵ta⁴⁴, kua⁴⁴tɯ²¹
th	tʰ	la⁴⁴tha⁴⁴
ts	ts	pɔ³⁵tsi⁴⁴ku⁴⁴, sʋ⁵⁵tsʋ³³nʋ³³, ɕɛ⁵⁵tsi³³
tɕ	tɕ	tɛ⁴⁴tɕa⁴⁴
tɕh	t	tɕhui³³tɕhi⁴⁴
u	u	ku²¹, ku³³, mi⁴⁴tu³⁵
ua	w a	khua⁴⁴, kua⁴², kua⁴⁴tɯ²¹
ui	w i	nɯ³³ui³³, tso⁴²khui⁵⁵, tui³³
uo	w o	xuo³⁵, zu⁴²kuo³³, ɕy⁵⁵li⁵⁵ta²¹kuo³³
uɛ	w ɛ	ɕuɛ⁴⁴
v	v	to⁵⁵vʋ³⁵, tɕi⁴²sv⁴⁴
y	y	tɕhy⁴⁴, tɕy³³kɛ⁵⁵ne²¹, tɕy⁴⁴
²$	²¹	tse⁵⁵kɔ³³ne²
²¹	²¹ +	tɯ²¹ma³⁵, tɯ²¹pɔ³³, ȵi²¹kɛ³⁵
²¹$	²¹	a⁵⁵ȵi²¹, kua⁴⁴tɯ²¹, ku²¹
³³	³³ +	a³³tɯ⁴⁴, mi⁴⁴phi³³phi³³, nɯ³³ui³³
³³$	³³	a⁵⁵ʑa³³, ko³³, ku³³
³¹	³¹ +	tsɯ³¹pe²¹
³⁵	³⁵ +	pi³⁵si³⁵, pɔ³⁵tsi⁴⁴ku⁴⁴, ʑi³⁵la⁴⁴khʋ⁵⁵
³⁵$	³⁵	fʋ³⁵, ka³⁵, kɛ³⁵
ŋ	ŋ	tɔ³³ŋɛ²¹
ȵ	ȵ	a⁵⁵ȵi²¹, nʋ³³ȵi²¹, tsi⁴⁴ȵi²¹
ɔ	ɔ	kɔ²¹, mɔ³³, nɔ³³
ɕ	ɕ	tsɯ³³ɕua³⁵, tɔ³³kɔ³³ɕi³⁵, u³³ɕi⁴⁴
ɛ	ɛ	kɛ²¹, kɛ³⁵, pe³³kɛ⁴⁴
ɯ	ɯ	a³³tɯ⁴⁴, kua⁴⁴tɯ²¹, kɯ²¹
ʋ	ʋ/ʊ	fʋ³⁵, fʋ⁴⁴, khʋ⁴⁴
ʑ	ʑ	a⁵⁵ʑa³³
⁴²	⁴² +	tso⁴²khui⁵⁵, tɕi⁴²sv⁴⁴, xua⁴²lɔ⁴²ɕu⁵⁵
⁴²$	⁴²	kua⁴², lua⁴², pa⁴²
⁴⁴	⁴⁴ +	kua⁴⁴tɯ²¹, la⁴⁴tha⁴⁴, mi⁴⁴phi³³phi³³
⁴⁴$	⁴⁴	a³³tɯ⁴⁴, a⁴⁴, a⁵⁵na⁴⁴
⁵⁵	⁵⁵ +	a⁵⁵na⁴⁴, a⁵⁵ta⁴⁴, a⁵⁵ȵi²¹
⁵⁵$	⁵⁵	khi⁵⁵, na⁵⁵, pa⁵⁵
